Res_Time_GQL,Cpu_usage_Rest,Ram_Usage_Rest,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
46,2581,29,38,926,34
49,2156,30,40,1059,35
72,3889,30,42,1905,35
80,4515,30,39,2557,35
108,4372,29,70,3139,35
89,4335,29,117,1973,35
77,3623,30,64,5123,33
78,3616,30,99,2352,33
79,4634,30,68,1740,33
140,3718,29,41,1196,33
69,3301,30,70,1549,33
68,3768,30,56,1118,33
78,4443,30,125,2165,33
158,3810,30,57,1942,33
67,5405,29,51,1558,33
57,2340,30,41,1636,33
60,3990,30,40,1912,33
123,4027,30,39,1832,33
54,3598,30,43,2013,34
58,4203,30,56,1786,34
88,4470,30,56,2071,34
51,3869,30,141,2464,34
59,4390,30,54,1997,34
38,2664,30,49,2610,34
47,2077,30,42,2702,34
60,2644,30,39,2315,34
52,6114,30,41,2197,34
54,1729,30,51,3028,34
69,3276,30,49,2712,35
58,2250,30,39,2907,35
110,4721,30,39,2264,35
69,3789,30,119,1699,35
60,4425,30,41,2531,35
76,3691,30,40,4371,35
169,5909,30,41,2833,35
53,2791,30,40,2626,35
77,4049,30,49,2238,35
49,3026,30,50,2084,35
64,7614,30,41,1876,35
50,3848,30,50,2906,36
69,3919,30,51,3399,36
147,4669,31,123,2771,36
64,12892,31,55,2439,33
56,9828,31,41,2587,33
58,4455,30,39,2028,33
46,4008,30,61,2362,33
54,2175,30,48,2427,33
87,2348,31,50,2128,34
146,2800,31,50,2002,34
60,3025,31,51,2184,34
55,4744,30,129,2517,34
89,4265,30,51,2994,34
157,3490,31,41,3155,34
48,2661,31,69,2576,34
70,4455,31,49,2095,34
80,4583,30,42,3804,34
56,2449,30,49,4307,35
58,1857,31,50,3492,35
50,5836,31,79,2731,35
58,3822,31,168,2308,35
68,8521,31,59,1296,35
60,6981,30,41,1709,35
112,3790,31,39,1769,35
55,3528,31,46,1351,35
59,4258,31,44,1646,35
96,2870,31,41,1384,35
42,3444,31,39,1215,35
60,3688,31,40,1517,35
87,4525,31,98,1509,36
105,2296,31,42,1638,36
61,4392,31,41,1774,36
68,3287,31,45,2343,36
70,4369,31,55,2801,36
57,3953,31,50,1909,36
60,3783,31,60,2178,36
52,3832,31,81,2786,36
154,3591,31,59,2416,36
54,5859,31,141,2003,36
59,4267,31,49,2590,37
80,4636,31,40,2053,37
67,3207,31,61,2952,37
59,2638,31,38,1860,37
68,3616,31,51,1756,37
119,4132,32,62,2442,37
88,4161,32,49,2771,37
48,5079,31,125,2772,37
60,3961,31,55,3194,37
59,3254,31,59,2612,37
68,5034,32,38,2019,37
80,3893,32,41,2203,38
113,2852,32,40,1924,38
54,2797,31,51,2576,38
